"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"HHS Region 4","3 wk ahead","percent","Bin","6.8","6.9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","6.9","7",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7","7.1",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.1","7.2",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.2","7.3",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.3","7.4",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.4","7.5",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.5","7.6",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.6","7.7",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.7","7.8",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.8","7.9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","7.9","8",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8","8.1",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.1","8.2",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.2","8.3",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.3","8.4",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.4","8.5",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.5","8.6",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.6","8.7",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.7","8.8",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.8","8.9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","8.9","9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9","9.1",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.1","9.2",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.2","9.3",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.3","9.4",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.4","9.5",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.5","9.6",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.6","9.7",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.7","9.8",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.8","9.9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","9.9","10",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10","10.1",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.1","10.2",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.2","10.3",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.3","10.4",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.4","10.5",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.5","10.6",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.6","10.7",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.7","10.8",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.8","10.9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","10.9","11",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11","11.1",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.1","11.2",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.2","11.3",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.3","11.4",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.4","11.5",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.5","11.6",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.6","11.7",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.7","11.8",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.8","11.9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","11.9","12",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12","12.1",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.1","12.2",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.2","12.3",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.3","12.4",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.4","12.5",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.5","12.6",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.6","12.7",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.7","12.8",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.8","12.9",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","12.9","13",3.83765872439176e-06
"HHS Region 4","3 wk ahead","percent","Bin","13","100",3.83765872439176e-06
"HHS Region 4","4 wk ahead","percent","Bin","0","0.1",0.00540439110080126
"HHS Region 4","4 wk ahead","percent","Bin","0.1","0.2",0.00842218130195539
"HHS Region 4","4 wk ahead","percent","Bin","0.2","0.3",0.0126134187991365
"HHS Region 4","4 wk ahead","percent","Bin","0.3","0.4",0.0181531573171746
"HHS Region 4","4 wk ahead","percent","Bin","0.4","0.5",0.025105690425361
"HHS Region 4","4 wk ahead","percent","Bin","0.5","0.6",0.0333646798983109
"HHS Region 4","4 wk ahead","percent","Bin","0.6","0.7",0.0426082023328561
"HHS Region 4","4 wk ahead","percent","Bin","0.7","0.8",0.0522864272942079
"HHS Region 4","4 wk ahead","percent","Bin","0.8","0.9",0.0616556777058289
"HHS Region 4","4 wk ahead","percent","Bin","0.9","1",0.0698626160149307
"HHS Region 4","4 wk ahead","percent","Bin","1","1.1",0.0760683262743131
"HHS Region 4","4 wk ahead","percent","Bin","1.1","1.2",0.0795884218381997
"HHS Region 4","4 wk ahead","percent","Bin","1.2","1.3",0.0800171043865837
"HHS Region 4","4 wk ahead","percent","Bin","1.3","1.4",0.0773041239125775
"HHS Region 4","4 wk ahead","percent","Bin","1.4","1.5",0.0717644679640393
"HHS Region 4","4 wk ahead","percent","Bin","1.5","1.6",0.0640181983471019
"HHS Region 4","4 wk ahead","percent","Bin","1.6","1.7",0.0548763165717548
"HHS Region 4","4 wk ahead","percent","Bin","1.7","1.8",0.0452016811154438
"HHS Region 4","4 wk ahead","percent","Bin","1.8","1.9",0.0357777773200687
"HHS Region 4","4 wk ahead","percent","Bin","1.9","2",0.0272121559664116
"HHS Region 4","4 wk ahead","percent","Bin","2","2.1",0.0198886934539551
"HHS Region 4","4 wk ahead","percent","Bin","2.1","2.2",0.0139684520390049
"HHS Region 4","4 wk ahead","percent","Bin","2.2","2.3",0.00942753096618892
"HHS Region 4","4 wk ahead","percent","Bin","2.3","2.4",0.00611465046342564
"HHS Region 4","4 wk ahead","percent","Bin","2.4","2.5",0.00381153503804235
"HHS Region 4","4 wk ahead","percent","Bin","2.5","2.6",0.00228371509850124
"HHS Region 4","4 wk ahead","percent","Bin","2.6","2.7",0.00131557339315253
"HHS Region 4","4 wk ahead","percent","Bin","2.7","2.8",0.000729053656321843
"HHS Region 4","4 wk ahead","percent","Bin","2.8","2.9",0.000389116861290547
"HHS Region 4","4 wk ahead","percent","Bin","2.9","3",0.000200523560913786
"HHS Region 4","4 wk ahead","percent","Bin","3","3.1",0.00010032398398023
"HHS Region 4","4 wk ahead","percent","Bin","3.1","3.2",4.93224249506375e-05
"HHS Region 4","4 wk ahead","percent","Bin","3.2","3.3",2.44441947462873e-05
"HHS Region 4","4 wk ahead","percent","Bin","3.3","3.4",1.2811141261763e-05
"HHS Region 4","4 wk ahead","percent","Bin","3.4","3.5",7.59548410816592e-06
"HHS Region 4","4 wk ahead","percent","Bin","3.5","3.6",5.35287076903377e-06
"HHS Region 4","4 wk ahead","percent","Bin","3.6","3.7",4.42794407970061e-06
"HHS Region 4","4 wk ahead","percent","Bin","3.7","3.8",4.06198236957608e-06
"HHS Region 4","4 wk ahead","percent","Bin","3.8","3.9",3.92305135789439e-06
"HHS Region 4","4 wk ahead","percent","Bin","3.9","4",3.87243966308405e-06
"HHS Region 4","4 wk ahead","percent","Bin","4","4.1",3.854745185311e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.1","4.2",3.84880770996003e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.2","4.3",3.84689530113244e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.3","4.4",3.84630400043596e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.4","4.5",3.84612848496179e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.5","4.6",3.84607846657727e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.6","4.7",3.84606478054376e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.7","4.8",3.84606118504712e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.8","4.9",3.8460602778705e-06
"HHS Region 4","4 wk ahead","percent","Bin","4.9","5",3.84606005814881e-06
"HHS Region 4","4 wk ahead","percent","Bin","5","5.1",3.84606000693632e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.1","5.2",3.84605999564274e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.2","5.3",3.84605999318275e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.3","5.4",3.84605999262366e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.4","5.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.5","5.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.6","5.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.7","5.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.8","5.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","5.9","6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6","6.1",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.1","6.2",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.2","6.3",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.3","6.4",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.4","6.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.5","6.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.6","6.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.7","6.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.8","6.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","6.9","7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7","7.1",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.1","7.2",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.2","7.3",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.3","7.4",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.4","7.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.5","7.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.6","7.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.7","7.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.8","7.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","7.9","8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8","8.1",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.1","8.2",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.2","8.3",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.3","8.4",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.4","8.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.5","8.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.6","8.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.7","8.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.8","8.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","8.9","9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9","9.1",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.1","9.2",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.2","9.3",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.3","9.4",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.4","9.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.5","9.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.6","9.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.7","9.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.8","9.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","9.9","10",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10","10.1",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.1","10.2",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.2","10.3",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.3","10.4",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.4","10.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.5","10.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.6","10.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.7","10.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.8","10.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","10.9","11",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11","11.1",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.1","11.2",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.2","11.3",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.3","11.4",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.4","11.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.5","11.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.6","11.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.7","11.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.8","11.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","11.9","12",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12","12.1",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.1","12.2",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.2","12.3",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.3","12.4",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.4","12.5",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.5","12.6",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.6","12.7",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.7","12.8",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.8","12.9",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","12.9","13",3.84605999251185e-06
"HHS Region 4","4 wk ahead","percent","Bin","13","100",3.84605999251185e-06
"HHS Region 5","Season onset","week","Bin","40","41",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","41","42",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","42","43",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","43","44",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","44","45",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","45","46",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","46","47",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","47","48",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","48","49",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","49","50",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","50","51",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","51","52",0.99951469874557
"HHS Region 5","Season onset","week","Bin","52","53",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","1","2",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","2","3",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","3","4",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","4","5",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","5","6",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","6","7",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","7","8",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","8","9",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","9","10",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","10","11",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","11","12",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","12","13",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","13","14",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","14","15",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","15","16",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","16","17",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","17","18",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","18","19",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","19","20",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","20","21",1.47060986190973e-05
"HHS Region 5","Season onset","week","Bin","none","none",1.47060986190973e-05
"HHS Region 5","Season peak week","week","Bin","40","41",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","41","42",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","42","43",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","43","44",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","44","45",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","45","46",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","46","47",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","47","48",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","48","49",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","49","50",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","50","51",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","51","52",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","52","53",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","1","2",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","2","3",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","3","4",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","4","5",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","5","6",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","6","7",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","7","8",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","8","9",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","9","10",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","10","11",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","11","12",0.999515144168851
"HHS Region 5","Season peak week","week","Bin","12","13",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","13","14",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","14","15",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","15","16",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","16","17",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","17","18",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","18","19",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","19","20",1.51517447234049e-05
"HHS Region 5","Season peak week","week","Bin","20","21",1.51517447234049e-05
"HHS Region 5","Season peak percentage","percent","Bin","0","0.1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.1","0.2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.2","0.3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.3","0.4",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.4","0.5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.5","0.6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.6","0.7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.7","0.8",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.8","0.9",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","0.9","1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1","1.1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.1","1.2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.2","1.3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.3","1.4",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.4","1.5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.5","1.6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.6","1.7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.7","1.8",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.8","1.9",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","1.9","2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2","2.1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.1","2.2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.2","2.3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.3","2.4",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.4","2.5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.5","2.6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.6","2.7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.7","2.8",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.8","2.9",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","2.9","3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","3","3.1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","3.1","3.2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","3.2","3.3",0.0926407207209177
"HHS Region 5","Season peak percentage","percent","Bin","3.3","3.4",0.104410110328992
"HHS Region 5","Season peak percentage","percent","Bin","3.4","3.5",0.113075988463911
"HHS Region 5","Season peak percentage","percent","Bin","3.5","3.6",0.117675276006865
"HHS Region 5","Season peak percentage","percent","Bin","3.6","3.7",0.1176757451194
"HHS Region 5","Season peak percentage","percent","Bin","3.7","3.8",0.113077340799313
"HHS Region 5","Season peak percentage","percent","Bin","3.8","3.9",0.104412191488691
"HHS Region 5","Season peak percentage","percent","Bin","3.9","4",0.0926433059068267
"HHS Region 5","Season peak percentage","percent","Bin","4","4.1",0.0789886094019336
"HHS Region 5","Season peak percentage","percent","Bin","4.1","4.2",0.0647147277851342
"HHS Region 5","Season peak percentage","percent","Bin","4.2","4.3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","4.3","4.4",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","4.4","4.5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","4.5","4.6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","4.6","4.7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","4.7","4.8",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","4.8","4.9",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","4.9","5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5","5.1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.1","5.2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.2","5.3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.3","5.4",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.4","5.5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.5","5.6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.6","5.7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.7","5.8",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.8","5.9",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","5.9","6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6","6.1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.1","6.2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.2","6.3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.3","6.4",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.4","6.5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.5","6.6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.6","6.7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.7","6.8",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.8","6.9",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","6.9","7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7","7.1",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.1","7.2",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.2","7.3",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.3","7.4",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.4","7.5",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.5","7.6",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.6","7.7",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.7","7.8",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.8","7.9",5.66928907450302e-06
"HHS Region 5","Season peak percentage","percent","Bin","7.9","8",5.66928907450302e-06
